CATEGORY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Jenis Penjualan
SEDAN A,56,177,188,107,123,134,223,201,135,109,189,109,wholesales
SEDAN B,175,382,355,281,418,219,487,481,490,428,471,385,wholesales
SEDAN C,6,7,2,5,4,3,5,7,2,32,8,8,wholesales
4X2 TYPE A,30307,34486,42790,37824,37923,24530,39096,40246,41770,40101,38383,35180,wholesales
4X2 TYPE B,9210,9558,10916,10049,10158,7662,8704,9656,8641,9885,9720,9161,wholesales
4X2 TYPE C,101,129,95,70,85,29,35,199,243,197,228,182,wholesales
4X4 TYPE B,184,230,281,152,138,172,164,210,311,251,190,173,wholesales
4X4 TYPE C,88,89,105,104,111,84,125,96,74,57,59,60,wholesales
BUS A,136,147,143,142,80,105,119,153,252,187,101,61,wholesales
BUS B,293,193,139,181,37,112,114,149,142,207,125,418,wholesales
PICKUP,14246,9903,8774,8894,10128,8922,11719,12432,12312,12497,12326,13230,wholesales
TRUCK A,6772,5649,4404,3853,3758,4149,5173,5777,5966,7148,5917,6189,wholesales
TRUCK B,682,535,548,479,620,586,746,793,788,885,523,753,wholesales
TRUCK C,1843,1948,2262,1493,1343,1169,1657,2046,1839,1887,1549,1865,wholesales
DOUBLE CABIN,1094,1142,1168,1005,912,803,1069,1128,871,987,796,861,wholesales
AFFORDABLE ENERGY A,16962,17232,18192,19404,18263,10726,19694,16917,19252,21218,20603,18991,wholesales
SEDAN A,159,136,228,168,178,119,199,164,199,168,192,230,retail
SEDAN B,164,308,395,306,384,199,468,498,465,408,506,464,retail
SEDAN C,7,7,2,5,3,4,5,5,3,33,8,4,retail
4X2 TYPE A,37757,35418,39950,35403,41201,28200,37300,37701,34448,36843,38893,42098,retail
4X2 TYPE B,10255,9888,10618,9182,10937,7888,10264,10785,9038,9811,10444,11049,retail
4X2 TYPE C,86,85,108,88,91,41,71,163,182,201,210,181,retail
4X4 TYPE B,149,201,273,220,167,146,196,188,277,265,225,197,retail
4X4 TYPE C,76,85,101,94,73,104,87,95,80,96,101,68,retail
BUS A,190,112,141,175,95,93,117,137,260,170,113,93,retail
BUS B,252,196,183,202,122,75,144,118,116,164,156,210,retail
PICKUP,11415,10134,10555,10162,10801,8594,11619,12237,11504,12046,13069,13492,retail
TRUCK A,6183,4932,4551,4664,3845,3847,5165,5555,5910,6544,6600,6723,retail
TRUCK B,673,498,658,437,567,487,705,616,835,647,732,830,retail
TRUCK C,1878,1835,2366,1374,1365,1149,1606,1948,1817,1941,1585,1751,retail
DOUBLE CABIN,1154,1186,1227,1147,991,713,1060,948,786,1005,1003,876,retail
AFFORDABLE ENERGY A,17148,16267,19751,16990,23061,14079,18376,17996,16864,18530,19418,22526,retail
SEDAN A,1421,1908,2319,2028,3090,1966,3612,3563,2349,3782,3165,2320,production
SEDAN B,30,27,13,26,20,3,44,129,167,132,251,163,production
4X2 TYPE A,47434,43349,50137,52578,49517,33503,60713,62685,62393,60403,53711,44158,production
4X2 TYPE B,10900,9130,10520,9863,9500,5913,9127,10080,9662,9181,7941,6776,production
4X2 TYPE C,1710,2118,1602,1523,2006,1333,1584,1172,1187,954,1464,1258,production
4X4 TYPE B,1204,1173,1255,994,1213,963,1724,1543,1419,1490,1281,1095,production
4X4 TYPE C,186,303,388,387,579,433,736,597,559,564,506,391,production
BUS A,180,141,112,178,241,188,344,191,140,166,108,83,production
BUS B,126,114,124,66,30,62,88,73,91,138,157,134,production
PICKUP,12665,6730,15163,10318,10894,6941,13849,13043,14392,14521,14449,13185,production
TRUCK A,7126,7065,6852,5046,4358,3341,5278,5231,5193,5538,6253,5889,production
TRUCK B,668,937,759,712,586,426,607,630,598,603,490,373,production
TRUCK C,2526,2012,1803,1350,1201,825,1430,1085,1011,1357,1087,1511,production
AFFORDABLE ENERGY A,20096,20082,22756,19569,20105,13316,20422,19686,21797,24139,22102,20959,production
